hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
A,NA,A,NA,NA,12,23,25,90,91,152,65,68,127,0,0,0,0,0,0,100,100,100,94,96,100,89,96,100,71,77,85,15,29,40,0,0,2,0,0,5,0,1,10,5,12,20,10,16,25,35,41,50,15,19,25,20,22,25,25,30,35,0,0,0,2,5,6,NA,NA,NA,1.3,1.35,1.45,NA,NA,NA,1.5,1.55,1.61,NA,1.41,2.82,14.11,0.15,0.18,0.22,NA,NA,NA,29.9,33.8,36.5,16.1,22.4,26.8,38,43,45,3.4,4.7,6,39,51,58,17,21,24,10,17,24,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,2,20.8,25.5,29.5,NA,NA,NA,17.4,25.2,37.5,5.6,6.9,7.8,5.4,6.3,7.5,NA,NA,NA,NA,NA,NA,1.6,5.6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,59966359
Ap,NA,A,NA,NA,0,0,0,12,23,25,12,23,25,0,0,0,0,0,0,100,100,100,93,96,100,88,95,100,75,82,90,15,22,30,0,0,2,0,0,5,0,1,10,5,7,20,10,14,25,37,47,52,15,21,25,20,26,30,25,31,35,0,0,0,4,7,10,NA,NA,NA,0.95,1.15,1.3,NA,NA,NA,1.08,1.28,1.32,NA,1.41,2.82,14.11,0.17,0.18,0.22,NA,NA,NA,29.6,33.4,36.5,15.7,21.6,26.7,42,49,57,2.8,3.7,4.6,43,55,65,17,21,24,12,20,28,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,2,21.4,26.6,30.1,NA,NA,NA,17.8,25.9,38.1,5.6,6.7,7.8,5.4,6.2,7.5,NA,NA,NA,NA,NA,NA,2.3,7,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,59966360
Bg,NA,B,NA,NA,90,91,152,90,112,192,0,21,40,0,0,0,0,0,0,100,100,100,94,96,100,86,94,100,62,70,75,30,36,40,0,0,2,0,1,5,1,5,10,10,15,30,10,15,25,30,37,45,10,17,25,15,20,25,20,27,30,0,0,5,2,3,6,NA,NA,NA,1.35,1.4,1.6,NA,NA,NA,1.52,1.57,1.77,NA,1.41,2.82,14.11,0.17,0.18,0.22,NA,NA,NA,28.3,32,35.6,13.9,19.2,25,34,42,45,1.6,3.8,4.4,33,43,52,11,16,21,4,10,17,0.32,0.32,0,0,5,0,0,0,0,0,0,0,0,2,17,21.8,22.7,NA,NA,NA,13.8,21,61.7,5.6,7,7.8,5.4,6.7,7.5,NA,NA,NA,NA,NA,NA,1.1,4.2,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,59966361
Cg,NA,C,NA,NA,90,112,192,200,200,200,48,88,110,0,0,0,0,0,0,100,100,100,95,97,100,82,93,100,48,59,70,30,48,75,0,0,5,0,1,5,5,10,15,15,22,35,10,15,25,15,32,45,10,15,20,10,17,25,10,20,30,0,0,5,1,2,3,NA,NA,NA,1.5,1.6,1.7,NA,NA,NA,1.62,1.72,1.81,NA,1.41,9.17,42.34,0.12,0.18,0.22,NA,NA,NA,23,29.7,34.8,7.7,15.5,23.4,31,35,40,0.6,2.3,4.2,21,34,46,3,12,21,0,4,14,0.32,0.32,0,10,20,0,0,0,0,0,0,0,0,2,8.9,17,21.2,NA,NA,NA,8,55.7,60.2,6.6,7,8.4,6.4,6.7,8,NA,NA,NA,NA,NA,NA,0,3.3,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,59966362
C,NA,C,NA,NA,100,112,150,200,200,200,50,88,100,0,0,0,0,0,0,100,100,100,95,97,100,86,92,100,52,58,65,25,50,70,0,1,3,0,1,3,5,11,15,10,20,25,10,17,20,15,30,50,8,14,25,10,16,26,15,20,25,0,0,5,0,0.25,0.5,NA,NA,NA,1.5,1.6,1.7,NA,NA,NA,1.62,1.72,1.74,2.62,4.23,9.17,42.34,0.11,0.18,0.19,NA,NA,NA,24.6,27.9,30.9,9.3,12.9,16.7,33,37,41,1.1,2.3,2.8,24,31,36,7,13,17,0,4,8,0.37,0.37,0,0,10,0,0,0,0,0,0,0,0,2,10.9,15.7,16.2,NA,NA,NA,9.6,15.2,55.2,6.1,7,8.4,5.6,6.6,8,NA,NA,NA,NA,NA,NA,0,2.6,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428652,59966363
Ap,NA,A,NA,NA,0,0,0,12,23,25,12,23,25,0,0,0,0,0,0,100,100,100,94,96,100,81,90,99,56,64,73,20,40,50,0,0,5,0,4,10,5,10,20,10,14,25,10,12,20,30,36,50,12,17,23,11,19,29,17,24,30,0,0,0,2,3.5,6,NA,NA,NA,1.2,1.3,1.4,NA,NA,NA,1.33,1.43,1.48,2.56,1.41,9.17,14.11,0.15,0.21,0.22,NA,NA,NA,26.1,30.2,34.3,10.9,16.3,22.5,41,45,50,1.8,3.1,4.4,32,41,52,11,16,21,3,8,16,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,2,14.7,20.5,25.6,NA,NA,NA,12.3,20.2,25.4,6.1,6.7,7.3,5.6,6.3,6.9,NA,NA,NA,NA,NA,NA,2.3,5.1,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428652,59966364
A,NA,A,NA,NA,12,23,25,100,112,150,88,89,138,0,0,0,0,0,0,100,100,100,94,96,100,82,90,99,56,64,73,20,40,50,0,0,5,0,4,10,5,10,20,10,14,25,10,12,20,30,36,50,12,17,23,11,19,29,17,24,30,0,0,0,2,2.5,4,NA,NA,NA,1.3,1.35,1.45,NA,NA,NA,1.43,1.48,1.54,2.58,1.41,9.17,14.11,0.15,0.18,0.22,NA,NA,NA,26.4,29.8,33.5,11.3,15.7,21,40,44,47,1.8,3.1,4.4,32,39,48,11,15,21,3,8,15,0.28,0.28,0,0,5,0,0,0,0,0,0,0,0,2,14.7,20.3,25.2,NA,NA,NA,12.8,19.1,64.2,6.1,6.7,7.3,5.6,6.3,6.9,NA,NA,NA,NA,NA,NA,2.3,4.7,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428652,59966365
Ap,NA,A,NA,NA,0,0,0,15,18,23,NA,18,NA,0,0,0,0,0,0,100,100,100,100,100,100,96,99,100,92,98,100,1,3,15,0.1,0.3,1,0.2,0.3,2,0.2,0.6,3,0.2,0.8,4,0.3,1,5,48,62,67,18,27,29,30,35,38,32,35,45,0,0,0,4,4.5,5,NA,NA,NA,1.29,1.35,1.4,NA,NA,NA,1.57,1.63,1.76,2.53,1,3,10,0.1,0.11,0.14,NA,NA,NA,34,35.2,37.9,22,24.1,29.8,42,44,47,4.8,6.5,9.3,50,55,66,22,25,32,23,30,40,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.2,2,26,28.2,35.1,NA,NA,NA,22.5,26.4,43.1,5.6,6.2,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,7.7,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428704,59966594
A1,NA,A,NA,1,15,18,23,27,51,81,NA,33,NA,0,0,0,0,0,0,100,100,100,100,100,100,95,99,100,90,97,100,1,4,15,0.1,0.3,1,0.2,0.4,2,0.2,0.9,3,0.2,1.1,4,0.3,1.3,5,44,57,67,18,24,29,26,33,38,32,39,45,0,0,0,2.4,3.2,4.1,NA,NA,NA,1.27,1.29,1.31,NA,NA,NA,1.58,1.6,1.68,2.55,0.1,0.7,1,0.11,0.11,0.13,NA,NA,NA,32.5,34.9,36.9,19.2,23.6,27.6,46,47,48,4.7,7.5,9.3,47,56,64,22,27,32,22,31,40,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.2,2,25.6,30.6,34.9,NA,NA,NA,22.4,27.5,42.9,5.6,6.4,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,6.9,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428704,59966595
A2,NA,A,NA,2,27,51,81,68,97,159,NA,46,NA,0,0,0,0,0,0,100,100,100,100,100,100,94,99,100,88,96,100,1,6,15,0.1,0.3,1,0.2,0.5,2,0.2,0.8,3,0.2,1.1,4,0.3,3.3,5,42,56,67,15,24,29,27,32,38,32,38,45,0,0,0,1.7,2,2.4,NA,NA,NA,1.29,1.34,1.37,NA,NA,NA,1.6,1.65,1.74,2.56,0.01,0.04,0.1,0.11,0.12,0.14,NA,NA,NA,32.4,34.4,36.5,19.1,22.6,26.8,44,45,47,4.7,7.2,9.2,45,53,60,22,28,33,21,31,39,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0.2,2,25.3,29.5,34.3,NA,NA,NA,22.6,28.9,42.3,5.6,6.9,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428704,59966596
Bg,NA,B,NA,NA,68,97,159,102,155,190,NA,58,NA,0,0,0,0,0,0,100,100,100,100,100,100,95,99,100,89,94,100,1,8,15,0.1,0.4,1,0.2,0.8,2,0.2,0.9,3,0.2,2,4,0.3,3.9,5,45,57,64,20,24,29,25,33,35,35,35,45,0,0,0,0.8,1.7,2.6,NA,NA,NA,1.33,1.36,1.39,NA,NA,NA,1.6,1.63,1.77,2.57,0.1,0.7,1,0.11,0.13,0.16,NA,NA,NA,32.9,33.5,36.8,20,21,27.4,44,45,46,6.2,6.3,9.2,47,49,61,25,26,33,24,27,39,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0.2,2,26.6,27.3,34.4,NA,NA,NA,24.1,25.9,34.3,6.1,6.9,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,4.7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428704,59966597
Cg,NA,C,NA,NA,102,155,190,200,200,200,NA,45,NA,0,0,0,0,0,0,100,100,100,100,100,100,91,98,100,82,93,100,2,10,15,0.2,0.9,1,0.4,1.1,2,0.4,1.1,3,0.4,2.1,4,0.6,4.8,5,41,60,78,16,28,36,25,32,42,20,30,45,0,0,0,1,1.4,1.8,NA,NA,NA,1.35,1.39,1.43,NA,NA,NA,1.54,1.58,1.81,2.58,1,3,10,0.13,0.14,0.18,NA,NA,NA,27.8,32,36.6,12.4,18.4,27.1,42,44,45,2.4,4.3,9.1,32,43,59,13,21,33,10,21,39,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0.2,2,16.6,23.8,34,NA,NA,NA,13.6,22.7,32.2,6.1,6.8,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,4.4,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428704,59966598
A1,NA,A,NA,1,0,0,0,10,20,30,10,20,25,0,0,0,0,0,0,100,100,100,100,100,100,95,100,100,88,96,100,1,6,20,0,0,0,0,0,0,0,0.2,0.5,0.4,1.8,7.5,0.6,4,12,49,64,73,22,29,33,27,35,40,24,30,35,0,0,0,4,5,20,NA,NA,NA,1.2,1.29,1.35,NA,NA,NA,1.39,1.48,1.55,2.53,1,3,10,0.15,0.16,0.18,NA,NA,NA,31.1,33.6,45,17,21.2,40.2,44,47,50,3.3,4.8,6.2,43,51,87,16,17,23,16,21,39,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.2,2,20.6,25.5,30.9,NA,NA,NA,14.7,23.1,29.8,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,6.7,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428705,59966599
A2,NA,A,NA,2,10,20,30,30,36,40,15,16,20,0,0,0,0,0,0,100,100,100,100,100,100,95,100,100,89,96,100,1,6,15,0,0,0,0,0,0,0,0.2,0.5,0.4,1.8,4.5,0.6,4,10,52,64,73,22,27,31,30,37,42,24,30,35,0,0,0,3,3.5,15,NA,NA,NA,1.25,1.31,1.35,NA,NA,NA,1.45,1.51,1.56,2.55,1,3,10,0.15,0.17,0.19,NA,NA,NA,30.5,32.8,40.2,16.1,19.8,35.2,45,46,48,3.3,4.8,6.1,41,47,76,16,17,24,16,20,37,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.2,2,20.4,25.1,30.5,NA,NA,NA,13.8,24.6,30.5,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,6.1,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428705,59966600
A3,NA,A,NA,3,30,36,40,60,86,90,30,50,50,0,0,0,0,0,0,100,100,100,100,100,100,96,100,100,89,96,100,1,6,15,0,0,0,0,0,0,0,0.2,0.5,0.4,1.8,4.5,0.6,4,10,50,61,72,21,26,31,29,35,41,27,33,35,0,0,0,3,3.5,8,NA,NA,NA,1.25,1.28,1.35,NA,NA,NA,1.47,1.5,1.52,2.55,1,3,10,0.15,0.16,0.18,NA,NA,NA,31.3,33.4,36.5,17.2,20.8,26.7,45,47,48,4,5.5,6,43,50,62,19,21,24,18,24,32,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.2,2,22.7,27.4,29.8,NA,NA,NA,18.5,25.2,29.8,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,6.4,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428705,59966601
BA,NA,BA,NA,NA,60,86,90,90,102,110,15,16,25,0,0,0,0,0,0,100,100,100,100,100,100,96,100,100,89,96,100,1,6,15,0,0,0,0,0,0,0,0.2,0.5,0.4,1.8,4.5,0.6,4,10,50,61,72,21,26,31,29,35,41,27,33,35,0,0,0,3,3.5,4,NA,NA,NA,1.25,1.29,1.35,NA,NA,NA,1.47,1.51,1.53,2.55,1,3,10,0.15,0.16,0.18,NA,NA,NA,31.3,33.5,34.3,17.4,20.9,22.5,45,47,48,4,5.5,5.9,43,50,53,19,23,25,18,26,30,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.2,2,22.7,27.4,29,NA,NA,NA,19.1,25.2,28.4,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,6.4,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428705,59966602
Bg,NA,B,NA,NA,90,102,110,110,117,120,10,15,30,0,0,0,0,0,0,100,100,100,100,100,100,96,100,100,89,95,100,1,8,15,0,0,0,0,0,0,0,0.4,0.5,0.4,2.6,4.5,0.6,5,10,50,58,68,18,21,25,32,37,43,30,34,35,0,0,0,3,3.5,4,NA,NA,NA,1.25,1.27,1.35,NA,NA,NA,1.48,1.5,1.51,2.55,1,3,10,0.15,0.16,0.18,NA,NA,NA,32.1,33.6,34.1,18.6,21.1,22.1,45,48,48,4.7,5.7,5.9,46,51,53,21,24,25,21,26,30,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.2,2,25,28.1,29,NA,NA,NA,21.3,25.5,28.2,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,6.5,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428705,59966603
BCg,NA,BC,NA,NA,110,117,120,120,132,140,10,15,25,0,0,0,0,0,0,100,100,100,100,100,100,96,100,100,89,95,100,1,8,15,0,0,0,0,0,0,0,0.4,0.5,0.4,2.6,4.5,0.6,5,10,50,60,69,21,25,29,29,35,40,30,32,35,0,0,0,1,1.5,2,NA,NA,NA,1.35,1.38,1.45,NA,NA,NA,1.57,1.6,1.63,2.58,1,3,10,0.16,0.18,0.2,NA,NA,NA,31.6,32.6,33.9,17.8,19.5,21.7,42,44,45,4.6,5.1,5.8,42,45,49,21,23,25,19,24,29,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0.2,2,23.9,25.7,28.2,NA,NA,NA,20.8,24.9,27.2,5.6,6.7,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,5,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428705,59966604
Cg,NA,C,NA,NA,120,132,140,140,200,200,20,68,80,0,0,0,0,0,0,100,100,100,100,100,100,93,100,100,85,95,100,1,8,30,0,0,0,0,0,0,0,0.4,0.5,0.4,2.6,9.5,0.6,5,20,42,61,74,20,29,35,22,32,39,25,31,35,0,0,0,1,1.5,2,NA,NA,NA,1.35,1.38,1.45,NA,NA,NA,1.56,1.59,1.63,2.58,1,3,10,0.16,0.2,0.22,NA,NA,NA,29.8,32.3,33.9,15,18.9,21.7,42,44,45,3.4,4.9,5.8,37,44,49,17,22,25,14,23,29,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0.2,2,20.3,25,28.2,NA,NA,NA,17.9,24.2,27.3,5.6,6.7,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,4.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428705,59966605
H1,NA,H,NA,1,NA,0,NA,NA,56,NA,NA,56,NA,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,90,92.5,95,NA,9.4,NA,NA,0,NA,NA,0,NA,NA,0.2,NA,NA,2.6,NA,NA,6.6,NA,NA,67.1,NA,NA,NA,NA,NA,NA,NA,20,23.5,27,NA,NA,NA,3.5,4,4.5,NA,NA,NA,1.3,1.33,1.35,NA,NA,NA,NA,1.39,NA,NA,1,9,10,0.21,0.22,0.23,NA,NA,NA,29.7,31.3,32.8,14.9,17.3,19.7,44,45,46,0,1.5,2.9,25,30,35,5,10,15,3,8,14,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,0,20,22.5,25,NA,NA,NA,NA,NA,NA,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,6,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428362,59965160
H2,NA,H,NA,2,NA,56,NA,NA,122,NA,NA,66,NA,0,0,0,0,0,0,100,100,100,100,100,100,95,97.5,100,90,92.5,95,NA,6.7,NA,NA,0,NA,NA,0,NA,NA,0.2,NA,NA,1.9,NA,NA,4.6,NA,NA,60.3,NA,NA,NA,NA,NA,NA,NA,30,33,36,NA,NA,NA,2,2.5,3,NA,NA,NA,1.3,1.35,1.4,NA,NA,NA,NA,1.54,NA,NA,1,3,10,0.18,0.19,0.2,NA,NA,NA,32.1,33.4,34.5,18.6,20.7,22.9,43,45,47,3,4.5,5.9,40,45,50,15,20,25,14,20,27,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,20,22.5,25,NA,NA,NA,NA,NA,NA,5.1,5.8,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,7.4,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428362,59965161
H3,NA,H,NA,3,NA,122,NA,NA,152,NA,NA,30,NA,0,0,0,0,0,0,100,100,100,100,100,100,95,97.5,100,90,92.5,95,NA,9.1,NA,NA,0,NA,NA,0,NA,NA,0.2,NA,NA,2.5,NA,NA,6.4,NA,NA,64.9,NA,NA,NA,NA,NA,NA,NA,25,26,34,NA,NA,NA,0,0.5,1,NA,NA,NA,1.4,1.43,1.45,NA,NA,NA,NA,1.63,NA,NA,1,9,10,0.18,0.19,0.2,NA,NA,NA,29.3,30.1,33.3,14.3,15.5,20.7,43,43,44,3,4.5,5.9,30,40,50,15,22.5,30,12,21,31,0.49,0.49,0,0,0,0,0,0,0,0,0,0,0,0,20,22.5,25,NA,NA,NA,NA,NA,NA,6.1,6.3,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,5.4,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428362,59965162
