texcl,lieutex,chtgkey,chtkey
Silty clay loam,,120447191,122523788
Silty clay loam,,120447192,122524107
Silty clay loam,,120447193,122523947
Silt loam,,120447194,122524108
Silty clay loam,,120447321,122523807
Silty clay loam,,120447322,122523808
Silt loam,,120447323,122523809
Silty clay loam,,120447188,122524244
Silty clay loam,,120447325,122523971
Silty clay loam,,120447328,122524133
Sandy loam,,120447329,122524077
Loam,,120447330,122524241
Loam,,120447331,122524078
Sandy loam,,120447332,122524242
Fine sandy loam,,120447333,122523762
Sandy loam,,120447334,122523763
Sand,,120447335,122523764
Loamy sand,,120447336,122523765
Fine sand,,120447337,122524243
Silt loam,,120447187,122523913
Silty clay loam,,120447189,122524079
Silt loam,,120447190,122524245
Silty clay loam,,120447324,122523806
Silty clay,,120447326,122524132
Silty clay loam,,120447327,122523972
Silty clay loam,,120447957,122524832
Silt loam,,120447958,122524292
Silt loam,,120447959,122524829
Silt loam,,120447960,122524690
Silty clay loam,,120447961,122524289
Silty clay loam,,120447962,122524830
Silt loam,,120447955,122524831
Silty clay loam,,120447956,122524692
Silt loam,,120447966,122523923
Silty clay loam,,120447970,122524090
Silt loam,,120447970,122524091
Silty clay loam,,120447971,122523781
Silt loam,,120447972,122523782
Sandy loam,,120447979,122525125
Loamy sand,,120447980,122525126
Silty clay loam,,120447973,122523783
Silt loam,,120447973,122525504
Silt loam,,120447974,122525505
Silty clay loam,,120447975,122525506
,Variable,120447976,122524257
Loam,,120447977,122526157
Loam,,120447978,122525124
Silt loam,,120447954,122524691
Clay loam,,120447963,122524290
Silt loam,,120447964,122524291
Silty clay loam,,120447965,122524689
Silt loam,,120447967,122524254
Silty clay loam,,120447967,122524255
Silty clay loam,,120447968,122524089
Silt loam,,120447969,122524256
Coarse sand,,120447981,122525666
Sand,,120447982,122526156
Fine sand,,120447983,122525667
Clay loam,,120448813,122524874
Silty clay loam,,120448814,122524732
Clay loam,,120448815,122524875
Loam,,120448816,122524733
Sandy loam,,120448817,122524460
Loam,,120448818,122524461
Clay loam,,120448819,122525450
Loam,,120448820,122525452
Silt loam,,120448821,122525714
Silty clay loam,,120448822,122525451
Clay loam,,120448823,122526203
Loam,,120448824,122526204
Silty clay loam,,120448825,122525715
Silt loam,,120448826,122525181
Silt loam,,120448771,122524727
Loam,,120448772,122524456
Sandy clay loam,,120448775,122524459
Loam,,120448776,122524728
Loam,,120448805,122524868
Silt loam,,120448806,122524726
Clay loam,,120448807,122524869
Silty clay loam,,120448808,122524331
Clay loam,,120448812,122524731
Sand,,120448831,122525712
Coarse sand,,120448832,122526202
Loamy sand,,120448833,122525713
Sand,,120448834,122525449
Loam,,120448840,122525710
Clay loam,,120448841,122526200
Silty clay loam,,120448842,122525711
Silt loam,,120448843,122525176
Sand,,120448782,122524328
Loamy sand,,120448783,122524329
Loamy coarse sand,,120448784,122524872
Coarse sand,,120448785,122524730
Loamy coarse sand,,120448786,122524873
Sand,,120448787,122524876
Sand,,120448788,122524322
Loamy sand,,120448789,122524735
Loamy sand,,120448790,122524323
Loamy coarse sand,,120448791,122524724
Coarse sand,,120448792,122524867
Clay loam,,120448793,122524454
Silt loam,,120448794,122524455
Sandy clay loam,,120448795,122524866
Loam,,120448796,122524723
Clay loam,,120448797,122524324
Silt loam,,120448798,122524325
Loam,,120448799,122524725
Silty clay loam,,120448800,122524877
Loam,,120448844,122525182
Clay loam,,120448845,122525183
Silty clay loam,,120448846,122525184
Silt loam,,120448847,122526205
Silt loam,,120448773,122524457
Loam,,120448774,122524458
Sand,,120448777,122524871
Coarse sand,,120448778,122524326
Loamy coarse sand,,120448779,122524327
Loamy sand,,120448780,122524870
Loamy coarse sand,,120448781,122524729
Loam,,120448801,122524865
Silt loam,,120448802,122524452
Clay loam,,120448803,122524453
Silty clay loam,,120448804,122524330
Loamy sand,,120448809,122524462
Loamy coarse sand,,120448810,122524463
Coarse sand,,120448811,122524734
Sand,,120448827,122525716
Coarse sand,,120448828,122526206
Loamy sand,,120448829,122525717
Sand,,120448830,122526207
Loam,,120448835,122525177
Sandy loam,,120448836,122525178
Silt loam,,120448837,122526201
Clay loam,,120448838,122525179
Sandy loam,,120448839,122525180
Silt loam,,120449899,122525487
Silty clay loam,,120449900,122525486
Silty clay loam,,120449901,122526004
Silt loam,,120449902,122525361
Silty clay loam,,120449903,122525755
Silty clay loam,,120449904,122526001
Silty clay loam,,120449905,122526240
Silty clay loam,,120449906,122525500
Sandy loam,,120449437,122526208
Sandy clay loam,,120449438,122525718
Loam,,120449439,122525185
Clay loam,,120449442,122525188
Loam,,120449443,122525719
Silty clay,,120449890,122525208
Silty clay loam,,120449891,122525209
Silty clay loam,,120449895,122525501
Silty clay loam,,120449896,122525502
Silt loam,,120449897,122525503
Silt loam,,120449898,122525754
Silty clay loam,,120449425,122525453
Clay loam,,120449426,122526210
Loam,,120449427,122525189
Silty clay loam,,120449428,122525720
Clay loam,,120449429,122526209
Loam,,120449430,122525722
Loam,,120449431,122525455
Clay loam,,120449432,122525454
Silty clay loam,,120449884,122525757
Silty clay,,120449885,122526002
Silty clay,,120449886,122525210
Silty clay loam,,120449887,122525342
Sandy clay loam,,120449433,122526211
Clay loam,,120449434,122525721
Sandy loam,,120449435,122526212
Loam,,120449436,122525456
Loam,,120449440,122525186
Clay loam,,120449441,122525187
Silty clay loam,,120449888,122525207
Silty clay,,120449889,122525341
Silt loam,,120449892,122526003
Silty clay loam,,120449893,122525758
Silty clay,,120449894,122525360
Silt loam,,120449907,122525488
Silty clay loam,,120449908,122526241
Clay loam,,120449909,122525756
