monthseq,month,flodfreqcl,floddurcl,pondfreqcl,ponddurcl,ponddep.l,ponddep.r,ponddep.h,dlyavgprecip.l,dlyavgprecip.r,dlyavgprecip.h,dlyavgpotet.l,dlyavgpotet.r,dlyavgpotet.h,cokey,comonthkey
8,August,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,213935281
12,December,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,213935282
6,June,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,213935283
11,November,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,213935284
1,January,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,213935285
3,March,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,213935286
7,July,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,213935287
9,September,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,213935288
10,October,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,213935289
2,February,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,213935290
5,May,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,213935291
4,April,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428651,213935292
1,January,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428652,213935293
8,August,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428652,213935294
10,October,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428652,213935295
4,April,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428652,213935296
11,November,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428652,213935297
7,July,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428652,213935298
2,February,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428652,213935299
12,December,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428652,213935300
5,May,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428652,213935301
9,September,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428652,213935302
6,June,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428652,213935303
3,March,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428652,213935304
1,January,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428704,213935857
12,December,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428704,213935858
2,February,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428704,213935859
3,March,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428704,213935860
4,April,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428704,213935861
5,May,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428704,213935862
6,June,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428704,213935863
7,July,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428704,213935864
8,August,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428704,213935865
9,September,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428704,213935866
10,October,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428704,213935867
11,November,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428704,213935868
5,May,Occasional,Brief (2 to 7 days),Frequent,Long (7 to 30 days),0,30,100,NA,NA,NA,NA,NA,NA,20428705,213935869
7,July,Occasional,Brief (2 to 7 days),Frequent,Long (7 to 30 days),0,30,100,NA,NA,NA,NA,NA,NA,20428705,213935870
4,April,Occasional,Brief (2 to 7 days),Frequent,Long (7 to 30 days),0,30,100,NA,NA,NA,NA,NA,NA,20428705,213935871
1,January,,,Frequent,Long (7 to 30 days),0,30,100,NA,NA,NA,NA,NA,NA,20428705,213935872
9,September,Occasional,Brief (2 to 7 days),Frequent,Long (7 to 30 days),0,30,100,NA,NA,NA,NA,NA,NA,20428705,213935873
12,December,,,Frequent,Long (7 to 30 days),0,30,100,NA,NA,NA,NA,NA,NA,20428705,213935874
3,March,Occasional,Brief (2 to 7 days),Frequent,Long (7 to 30 days),0,30,100,NA,NA,NA,NA,NA,NA,20428705,213935875
11,November,Occasional,Brief (2 to 7 days),Frequent,Long (7 to 30 days),0,30,100,NA,NA,NA,NA,NA,NA,20428705,213935876
8,August,Occasional,Brief (2 to 7 days),Frequent,Long (7 to 30 days),0,30,100,NA,NA,NA,NA,NA,NA,20428705,213935877
10,October,Occasional,Brief (2 to 7 days),Frequent,Long (7 to 30 days),0,30,100,NA,NA,NA,NA,NA,NA,20428705,213935878
6,June,Occasional,Brief (2 to 7 days),Frequent,Long (7 to 30 days),0,30,100,NA,NA,NA,NA,NA,NA,20428705,213935879
2,February,Occasional,Brief (2 to 7 days),Frequent,Long (7 to 30 days),0,30,100,NA,NA,NA,NA,NA,NA,20428705,213935880
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428362,213931813
2,February,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428362,213931814
3,March,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428362,213931815
4,April,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428362,213931816
5,May,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428362,213931817
6,June,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428362,213931818
7,July,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428362,213931819
8,August,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428362,213931820
9,September,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428362,213931821
10,October,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428362,213931822
11,November,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428362,213931823
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428362,213931824
1,January,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428363,213931825
2,February,Rare,Brief (2 to 7 days),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428363,213931826
3,March,Rare,Brief (2 to 7 days),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428363,213931827
4,April,Rare,Brief (2 to 7 days),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428363,213931828
5,May,Rare,Brief (2 to 7 days),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428363,213931829
6,June,Rare,Brief (2 to 7 days),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428363,213931830
7,July,Rare,Brief (2 to 7 days),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428363,213931831
8,August,Rare,Brief (2 to 7 days),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428363,213931832
9,September,Rare,Brief (2 to 7 days),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428363,213931833
10,October,Rare,Brief (2 to 7 days),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428363,213931834
11,November,Rare,Brief (2 to 7 days),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428363,213931835
12,December,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428363,213931836
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428392,213932173
2,February,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428392,213932174
3,March,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428392,213932175
4,April,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428392,213932176
5,May,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428392,213932177
6,June,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428392,213932178
7,July,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428392,213932179
8,August,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428392,213932180
9,September,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428392,213932181
10,October,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428392,213932182
11,November,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428392,213932183
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428392,213932184
4,April,Occasional,Very brief (4 to 48 hours),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428393,213932185
12,December,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428393,213932186
1,January,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428393,213932187
6,June,Occasional,Very brief (4 to 48 hours),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428393,213932188
5,May,Occasional,Very brief (4 to 48 hours),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428393,213932189
10,October,Occasional,Very brief (4 to 48 hours),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428393,213932190
8,August,Occasional,Very brief (4 to 48 hours),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428393,213932191
2,February,Occasional,Very brief (4 to 48 hours),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428393,213932192
7,July,Occasional,Very brief (4 to 48 hours),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428393,213932193
3,March,Occasional,Very brief (4 to 48 hours),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428393,213932194
11,November,Occasional,Very brief (4 to 48 hours),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428393,213932195
9,September,Occasional,Very brief (4 to 48 hours),,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428393,213932196
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428394,213932197
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428394,213932198
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428394,213932199
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428394,213932200
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428394,213932201
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428394,213932202
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428394,213932203
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428394,213932204
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428394,213932205
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428394,213932206
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428394,213932207
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428394,213932208
2,February,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428581,213934441
3,March,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428581,213934442
4,April,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428581,213934443
5,May,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428581,213934444
6,June,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428581,213934445
7,July,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428581,213934446
8,August,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428581,213934447
9,September,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428581,213934448
10,October,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428581,213934449
11,November,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428581,213934450
1,January,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428581,213934451
12,December,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428581,213934452
8,August,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428582,213934453
9,September,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428582,213934454
10,October,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428582,213934455
11,November,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428582,213934456
2,February,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428582,213934457
3,March,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428582,213934458
4,April,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428582,213934459
5,May,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428582,213934460
6,June,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428582,213934461
7,July,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428582,213934462
1,January,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428582,213934463
12,December,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428582,213934464
2,February,Occasional,Brief (2 to 7 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,20428583,213934465
3,March,Occasional,Brief (2 to 7 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,20428583,213934466
4,April,Occasional,Brief (2 to 7 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,20428583,213934467
5,May,Occasional,Brief (2 to 7 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,20428583,213934468
6,June,Occasional,Brief (2 to 7 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,20428583,213934469
7,July,Occasional,Brief (2 to 7 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,20428583,213934470
8,August,Occasional,Brief (2 to 7 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,20428583,213934471
9,September,Occasional,Brief (2 to 7 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,20428583,213934472
10,October,Occasional,Brief (2 to 7 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,20428583,213934473
11,November,Occasional,Brief (2 to 7 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,20428583,213934474
1,January,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428583,213934475
12,December,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428583,213934476
2,February,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428584,213934477
3,March,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428584,213934478
4,April,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428584,213934479
5,May,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428584,213934480
6,June,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428584,213934481
7,July,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428584,213934482
8,August,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428584,213934483
9,September,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428584,213934484
10,October,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428584,213934485
11,November,Rare,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428584,213934486
1,January,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428584,213934487
12,December,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428584,213934488
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428500,213933469
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428500,213933470
2,February,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428500,213933471
3,March,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428500,213933472
4,April,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428500,213933473
5,May,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428500,213933474
6,June,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428500,213933475
7,July,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428500,213933476
8,August,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428500,213933477
9,September,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428500,213933478
10,October,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428500,213933479
11,November,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428500,213933480
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428501,213933481
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428501,213933482
2,February,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428501,213933483
3,March,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428501,213933484
4,April,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428501,213933485
5,May,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428501,213933486
6,June,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428501,213933487
7,July,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428501,213933488
10,October,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428501,213933489
11,November,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428501,213933490
8,August,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428501,213933491
9,September,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428501,213933492
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428502,213933493
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428502,213933494
2,February,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428502,213933495
3,March,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428502,213933496
6,June,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428502,213933497
7,July,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428502,213933498
8,August,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428502,213933499
9,September,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428502,213933500
4,April,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428502,213933501
5,May,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428502,213933502
10,October,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428502,213933503
11,November,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428502,213933504
2,February,Frequent,Long (7 to 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,20428503,213933505
7,July,Frequent,Long (7 to 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,20428503,213933506
3,March,Frequent,Long (7 to 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,20428503,213933507
11,November,Frequent,Long (7 to 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,20428503,213933508
9,September,Frequent,Long (7 to 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,20428503,213933509
4,April,Frequent,Long (7 to 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,20428503,213933510
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428503,213933511
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428503,213933512
6,June,Frequent,Long (7 to 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,20428503,213933513
5,May,Frequent,Long (7 to 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,20428503,213933514
10,October,Frequent,Long (7 to 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,20428503,213933515
8,August,Frequent,Long (7 to 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,20428503,213933516
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428504,213933517
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428504,213933518
4,April,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428504,213933519
5,May,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428504,213933520
6,June,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428504,213933521
7,July,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428504,213933522
8,August,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428504,213933523
9,September,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428504,213933524
10,October,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428504,213933525
11,November,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428504,213933526
2,February,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428504,213933527
3,March,Frequent,Long (7 to 30 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428504,213933528
