comppct.l,comppct.r,comppct.h,compname,compkind,majcompflag,otherph,localphase,slope.l,slope.r,slope.h,slopelenusle.l,slopelenusle.r,slopelenusle.h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev.l,elev.r,elev.h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry.l,albedodry.r,albedodry.h,airtempa.l,airtempa.r,airtempa.h,map.l,map.r,map.h,reannualprecip.l,reannualprecip.r,reannualprecip.h,ffd.l,ffd.r,ffd.h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod.l,rsprod.r,rsprod.h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub.l,initsub.r,initsub.h,totalsub.l,totalsub.r,totalsub.h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
85,90,95,Coland,Series,Yes,A,occasionally flooded,0,1,2,NA,25,NA,,5,48,6,None - deposition,Crop cover,Row crop,Neither wooded nor farmable under natural conditions,Yes,Poorly drained,210,350,560,0,NA,360,flood plains on river valleys,NA,0.09,NA,6,8,11,610,800,930,NA,NA,NA,140,155,180,2,w,NA,NA,,NA,83,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine-loamy, mixed, superactive, mesic Cumulic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Cumulic Endoaquolls,fine-loamy,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,407598,20428651
5,10,15,Spillville,Taxadjunct,No ,A,occasionally flooded,0,1,2,NA,NA,NA,,5,48,6,Class 1,Crop cover,Row crop,,No,Somewhat poorly drained,210,350,560,0,NA,360,flood plains on river valleys,NA,0.09,NA,6,8,11,610,800,930,NA,NA,NA,140,155,180,2,w,NA,NA,,NA,91,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,0,0,0,B/D,Low,High,"Fine-loamy, mixed, superactive, mesic Aquic Cumulic Hapludolls",Mollisols,Udolls,Hapludolls,Aquic Cumulic Hapludolls,fine-loamy,not used,superactive,not used,mesic,Udic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,407598,20428652
90,95,100,Zook,Series,Yes,,occasionally flooded,0,1,2,NA,91,NA,High,5,48,6,None - deposition,Crop cover,Row crop,Farmable under natural conditions,Yes,Poorly drained,160,280,400,0,180,360,flood-plain steps on river valleys,NA,0.09,NA,6,9,12,580,735,1040,NA,NA,NA,155,180,210,2,w,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,D,Low,High,"Fine, smectitic, mesic Cumulic Vertic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Cumulic Vertic Endoaquolls,fine,not used,not used,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,407666,20428704
0,5,10,Colo,Series,No ,,frequently ponded,0,1,2,NA,91,NA,Negligible,5,0,8,None - deposition,Grass/herbaceous cover,Other grass/herbaceous cover,Neither wooded nor farmable under natural conditions,Yes,Poorly drained,160,280,400,0,180,360,flood-plain steps on river valleys,NA,0.02,NA,6,9,12,585,735,1040,NA,NA,NA,155,180,210,5,w,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,Moderate,"Fine-silty, mixed, superactive, mesic Cumulic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Cumulic Endoaquolls,fine-silty,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,407666,20428705
NA,95,NA,Wiota,Series,Yes,HIGH PPT,rarely flooded,0,1,2,NA,76,NA,Low,5,48,6,None - deposition,,,,No,Well drained,183,275,366,0,120,360,stream terraces on river valleys,NA,0.09,NA,8,10,11,840,866,965,NA,NA,NA,170,185,200,1,,NA,NA,,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,NA,NA,NA,C,Moderate,Moderate,"TYPIC ARGIUDOLLS, FINE-SILTY, MIXED, MESIC",Mollisols,Udolls,Argiudolls,Typic Argiudolls,fine-silty,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,407686,20428362
NA,5,NA,Nevin,Series,No ,HIGH PPT,rarely flooded,0,1,2,NA,NA,NA,,5,NA,,None - deposition,,,,No,Somewhat poorly drained,168,282,396,NA,NA,NA,stream terraces on river valleys,NA,NA,NA,8,10,11,840,866,965,NA,NA,NA,170,185,200,1,,NA,NA,,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,NA,NA,NA,C,,,"AQUIC ARGIUDOLLS, FINE-SILTY, MIXED, MESIC",Mollisols,Udolls,Argiudolls,Aquic Argiudolls,fine-silty,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,407686,20428363
NA,90,NA,Nevin,Series,Yes,HIGH PPT,rarely flooded,0,1,2,NA,76,NA,Low,5,48,6,None - deposition,,,,No,Somewhat poorly drained,168,282,396,0,120,360,stream terraces on river valleys,NA,0.09,NA,8,10,11,840,866,965,NA,NA,NA,170,185,200,1,,NA,NA,,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,NA,NA,NA,C/D,Low,High,"AQUIC ARGIUDOLLS, FINE-SILTY, MIXED, MESIC",Mollisols,Udolls,Argiudolls,Aquic Argiudolls,fine-silty,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,407700,20428392
NA,5,NA,Bremer,Series,No ,HIGH PPT,occasionally flooded,0,1,2,NA,NA,NA,,5,48,6,None - deposition,,,Farmable under natural conditions,Yes,Poorly drained,152,290,427,NA,NA,NA,stream terraces on river valleys,NA,NA,NA,8,10,11,840,866,965,NA,NA,NA,170,185,200,2,w,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,NA,NA,NA,C/D,,High,"TYPIC ARGIAQUOLLS, FINE, MONTMORILLONITIC, MESIC",Mollisols,Aquolls,Argiaquolls,Typic Argiaquolls,fine,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,407700,20428393
NA,5,NA,Hoopeston,Series,No ,MAAT>50,,1,2,3,NA,61,NA,Very low,3,86,3,Class 1,,,,No,Somewhat poorly drained,122,268,414,NA,NA,NA,"river valleys, stream terraces",NA,0.09,NA,8,10,11,840,866,965,NA,NA,NA,170,185,200,2,s,NA,NA,,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,NA,NA,NA,B,Moderate,High,"AQUIC HAPLUDOLLS, COARSE-LOAMY, MIXED, MESIC",Mollisols,Udolls,Hapludolls,Aquic Hapludolls,coarse-loamy,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,407700,20428394
0,10,20,Waukee,Series,No ,,rarely flooded,0,1,2,NA,91,NA,Low,3,48,6,None - deposition,Crop cover,Row crop,,No,Well drained,150,255,275,0,180,360,stream terraces on river valleys,NA,0.09,NA,6.9,8.3,11.6,854,901,998,NA,NA,NA,161,176,206,2,s,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,0,0,0,B,Moderate,High,"Fine-loamy over sandy or sandy-skeletal, mixed, superactive, mesic Typic Hapludolls",Mollisols,Udolls,Hapludolls,Typic Hapludolls,fine-loamy over sandy or sandy-skeletal,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,2424464,20428581
50,80,100,Lawler,Series,Yes,,rarely flooded,0,1,2,NA,91,NA,Low,3,48,6,None - deposition,Crop cover,Row crop,,No,Somewhat poorly drained,150,255,275,0,180,360,stream terraces on river valleys,NA,0.09,NA,6.9,8.3,11.6,854,901,998,NA,NA,NA,161,176,206,2,s,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,0,0,0,B/D,Moderate,High,"Fine-loamy over sandy or sandy-skeletal, mixed, superactive, mesic Aquic Hapludolls",Mollisols,Udolls,Hapludolls,Aquic Hapludolls,fine-loamy over sandy or sandy-skeletal,not used,superactive,not used,mesic,Aquic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,2424464,20428582
0,5,10,Shandep,Series,No ,,"ponded, occasionally flooded",0,0,1,NA,91,NA,Low,4,48,6,None - deposition,Crop cover,Row crop,,Yes,Poorly drained,150,255,275,0,180,360,depressions on stream terraces on river valleys,NA,0.02,NA,6.9,8.3,11.6,854,901,998,NA,NA,NA,161,176,206,3,w,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine-loamy, mixed, superactive, mesic Cumulic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Cumulic Endoaquolls,fine-loamy,not used,superactive,not used,mesic,Aquic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,2424464,20428583
0,5,10,Marshan,Series,No ,,rarely flooded,0,1,2,NA,91,NA,Low,3,48,6,None - deposition,Crop cover,Row crop,Farmable under natural conditions,Yes,Poorly drained,150,255,275,0,180,360,stream terraces on river valleys,NA,0.09,NA,6.9,8.3,11.6,854,901,998,NA,NA,NA,161,176,206,2,w,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine-loamy over sandy or sandy-skeletal, mixed, superactive, mesic Typic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls,fine-loamy over sandy or sandy-skeletal,not used,superactive,not used,mesic,Aquic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,2424464,20428584
25,30,35,Lawson,Series,Yes,"MAAT>50, DRAINED","frequently flooded, channeled",0,1,2,NA,61,NA,Low,5,56,5,None - deposition,,,Wooded under natural conditions,Yes,Somewhat poorly drained,155,250,340,0,120,360,flood plains on river valleys,NA,0.09,NA,8,10,11,840,900,965,NA,NA,NA,170,185,200,5,w,NA,NA,,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,NA,NA,NA,B/D,Low,High,"Fine-silty, mixed, superactive, mesic Aquic Cumulic Hapludolls",Mollisols,Udolls,Hapludolls,Aquic Cumulic Hapludolls,fine-silty,,superactive,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,2506531,20428500
30,35,40,Colo,Series,Yes,MAAT>50,"frequently flooded, channeled, overwash",0,1,2,NA,61,NA,Low,5,48,6,None - deposition,,,Wooded under natural conditions,Yes,Poorly drained,155,250,340,0,120,360,flood plains on river valleys,NA,0.02,NA,8,10,11,840,900,965,NA,NA,NA,170,185,200,5,w,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,NA,NA,NA,C/D,Low,High,"Fine-silty, mixed, superactive, mesic Cumulic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Cumulic Endoaquolls,fine-silty,,superactive,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,2506531,20428501
5,10,15,Nodaway,Series,No ,HIGH PPT,"frequently flooded, channeled",0,1,2,NA,61,NA,Low,5,48,6,None - deposition,,,Wooded under natural conditions,Yes,Moderately well drained,155,250,340,0,120,360,flood plains on river valleys,NA,0.23,NA,8,10,11,840,900,965,NA,NA,NA,170,185,200,5,w,NA,NA,,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,NA,NA,NA,B,Low,High,"Fine-silty, mixed, superactive, nonacid, mesic Mollic Udifluvents",Entisols,Fluvents,Udifluvents,Mollic Udifluvents,fine-silty,,superactive,nonacid,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,2506531,20428502
10,15,20,Aquolls,Taxon above family,No ,,"frequently flooded, ponded",0,0.5,1,NA,61,NA,Very low,5,NA,,None - deposition,,,Wooded under natural conditions,Yes,Very poorly drained,155,250,340,0,120,360,depressions on flood plains,NA,0.02,NA,8,10,11,840,900,965,NA,NA,NA,170,185,200,5,w,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,NA,NA,NA,NA,NA,NA,,,,"Mixed, mesic Aquolls",Mollisols,Aquolls,,,,,,,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,2506531,20428503
5,10,15,Shaffton,Series,No ,DRAINED,"frequently flooded, channeled",0,1,2,NA,61,NA,Low,4,48,6,None - deposition,,,Wooded under natural conditions,Yes,Somewhat poorly drained,155,250,340,0,120,360,flood plains on river valleys,NA,0.09,NA,8,10,11,840,900,965,NA,NA,NA,170,185,200,5,w,NA,NA,,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,NA,NA,NA,B/D,Moderate,High,"Fine-loamy, mixed, superactive, mesic Fluvaquentic Hapludolls",Mollisols,Udolls,Hapludolls,Fluvaquentic Hapludolls,fine-loamy,,superactive,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,2506531,20428504
